author,ICASSP,ICRA,ICIP,ISCAS,ICC,INTERSPEECH,GLOBECOM,IROS,CHI,VTC,CVPR,HICSS,CDC,AAAI,ICPR,IJCAI,IJCNN,NeurIPS,ISIT,INFOCOM,ICSE,IPDPS,MICCAI,CEC,DAC,ACL,DATE,WWW,ACMMM,CIKM,LREC,ICML,ICCV,ECIS,ICDMW,SIGIR,ECCV,SIGMOD,COLING,SIGKDD,SC,CCS,EMNLP,ICALP,SODA,Big Data,HLT-NAACL,ECMLPKDD,FOCS,STOC,ICDCS,BMVC,UbiComp,OOPSLA,ISSCC,VLDB,UAI,CSCW,MobiCom,ACCV,SIGCOMM,ASE,HRI,ISCA,ICSME,ISMIR,WACV,UIST,Allerton,SENSYS,DSN,Humanoids,ICMI,MICRO,CRYPTO,SemEval,CAV,POPL,RecSys,PLDI,EUROCRYPT,SDM,COLT,SP,USENIX Security,ACT,AISTATS,Mobisys,EACL,ESORICS,ACSAC,SoCC,SANER,ASIACRYPT,ICMR,WSDM,TACAS,ASPLOS,PPOPP,HPCA,CoNLL,ISSTA,CoNEXT,FC,NDSS,DIS,LAK,AIME,RSS,MSR,IMC,PKC,VLSIC,TCC,NSDI,CHES,FSE,EuroSys,OSDI,MMSys,FAST,ACC,FG,EC,ITCS
Roland Siegwart,0,137,0,0,0,0,0,128,2,0,5,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christos Faloutsos,3,0,0,0,0,0,1,0,2,0,4,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,22,1,22,0,1,0,0,37,2,0,25,0,66,1,1,1,0,0,1,0,27,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Andrew Zisserman,1,1,2,0,0,4,0,0,0,0,67,0,0,0,4,0,0,16,0,0,0,0,10,0,0,0,0,0,2,0,0,0,41,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John H. L. Hansen,104,0,0,0,0,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asayuki Inaba,0,64,0,0,0,0,0,137,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolfram Burgard,0,117,0,0,0,0,0,107,0,0,2,0,0,15,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.-C. Jay Kuo,51,0,58,49,12,0,45,1,0,7,7,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Björn W. Schuller,73,0,2,0,0,93,0,1,2,0,3,0,0,1,2,4,11,0,0,0,1,0,0,0,0,0,0,0,26,1,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xiaoou Tang,7,0,21,0,0,0,0,0,3,0,92,0,0,7,10,3,0,5,0,0,0,0,0,0,0,0,0,0,35,0,0,3,40,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerhard P. Fettweis,18,0,0,7,54,0,50,0,0,95,0,0,0,0,0,0,0,0,9,0,0,0,0,2,2,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
